Time	Correlation	Volatility_1	Volatility_2
1	0.075382835530934	0.000142240464553624	0.00047916995884748
2	0.0825058079666246	0.000143821467507515	0.00047058627381113
3	0.0885640305189738	0.00014535894346244	0.00046218532940068
4	0.0937166631909595	0.000146854700884563	0.000453963759100371
5	0.0980990745703697	0.000148310431640783	0.000445918262520184
6	0.101826398197144	0.00014972772157189	0.000438045603922782
7	0.104996557320952	0.000151108059843597	0.000430342610770313
8	0.107692837514618	0.000152452847244947	0.000422806172290575
9	0.109986074730429	0.000153763403576428	0.000415433238062104
10	0.111936516283326	0.000155040974247828	0.00040822081661777
